Date,CustomerName,Region,Category,Product,Quantity,UnitPrice,Amount,DiscountRate,TotalAmount,Profit,PaymentMode
2020-01-24,Customer_28,West,Electronics,Laptop,1,9298,9298,0.06,8740.12,1721.99,Debit Card
2020-01-24,Customer_14,West,Electronics,Smartphone,5,1489,7445,0.09,6774.95,890.74,Net Banking
2020-01-24,Customer_14,East,Accessories,Keyboard,5,13308,66540,0.04,63878.4,4825.53,Net Banking
2020-01-24,Customer_44,West,Electronics,Printer,2,43406,86812,0.13,75526.44,16181.87,Cash
2020-01-24,Customer_14,West,Accessories,Headphones,4,29721,118884,0.15,101051.4,6645.78,Cash
2020-01-25,Customer_22,East,Electronics,Smartphone,1,12447,12447,0.05,11824.65,2797.86,Credit Card
2020-01-25,Customer_39,West,Accessories,Keyboard,3,36873,110619,0.1,99557.1,15064.24,UPI
2020-01-25,Customer_42,North,Accessories,Headphones,3,7210,21630,0.03,20981.1,1557.55,UPI
2020-01-25,Customer_14,East,Accessories,Keyboard,1,49292,49292,0.02,48306.16,3897.46,Cash
2020-01-26,Customer_44,South,Accessories,Keyboard,5,43982,219910,0.05,208914.5,18573.27,Net Banking
2020-01-26,Customer_17,North,Electronics,Monitor,3,43977,131931,0.03,127973.07,28178.44,Credit Card
2020-01-26,Customer_40,South,Accessories,Keyboard,4,2708,10832,0.04,10398.72,986.67,Cash
2020-01-27,Customer_50,North,Electronics,Smartphone,2,13793,27586,0.13,23999.82,5288.38,Cash
2020-01-27,Customer_38,East,Electronics,Smartphone,2,7830,15660,0.05,14877.0,3466.88,Cash
2020-01-27,Customer_34,East,Accessories,Mouse,1,47819,47819,0.03,46384.43,5316.12,UPI
2020-01-27,Customer_45,South,Electronics,Laptop,3,32476,97428,0.03,94505.16,5120.02,Net Banking
2020-01-27,Customer_18,North,Electronics,Laptop,5,21075,105375,0.06,99052.5,14013.68,Credit Card
2020-01-27,Customer_15,North,Electronics,Printer,1,14529,14529,0.08,13366.68,1165.16,Net Banking
2020-01-28,Customer_3,West,Accessories,Mouse,4,38152,152608,0.05,144977.6,14029.3,Credit Card
2020-01-28,Customer_42,North,Accessories,Headphones,2,15811,31622,0.13,27511.14,1987.36,Credit Card
2020-01-28,Customer_41,East,Accessories,Keyboard,5,48938,244690,0.03,237349.3,42612.02,Credit Card
2020-01-28,Customer_48,East,Accessories,Mouse,3,29382,88146,0.12,77568.48,11584.31,Debit Card
2020-01-28,Customer_7,West,Electronics,Laptop,1,40686,40686,0.1,36617.4,2580.54,Cash
2020-01-29,Customer_34,South,Electronics,Monitor,3,17849,53547,0.1,48192.3,6403.33,UPI
2020-01-29,Customer_30,West,Electronics,Monitor,1,7711,7711,0.07,7171.23,476.1,Cash
2020-01-29,Customer_15,West,Accessories,Keyboard,3,27675,83025,0.11,73892.25,10962.88,Credit Card
2020-01-30,Customer_29,North,Accessories,Mouse,4,6927,27708,0.09,25214.28,1673.54,Net Banking
2020-01-30,Customer_34,East,Accessories,Keyboard,3,14895,44685,0.09,40663.35,10021.49,Net Banking
2020-01-30,Customer_26,South,Electronics,Smartphone,1,30112,30112,0.15,25595.2,1473.23,Debit Card
2020-01-30,Customer_32,South,Electronics,Laptop,5,40008,200040,0.01,198039.6,47253.74,Net Banking
2020-01-30,Customer_47,South,Accessories,Mouse,1,30097,30097,0.03,29194.09,5854.84,UPI
2020-01-31,Customer_18,North,Electronics,Printer,5,11421,57105,0.11,50823.45,2792.44,Debit Card
2020-01-31,Customer_11,South,Accessories,Keyboard,4,40619,162476,0.05,154352.2,11429.84,Credit Card
2020-01-31,Customer_3,North,Accessories,Keyboard,2,22925,45850,0.08,42182.0,2146.45,Debit Card
2020-01-31,Customer_18,North,Electronics,Smartphone,3,13095,39285,0.1,35356.5,5260.33,Credit Card
2020-01-31,Customer_6,North,Electronics,Monitor,1,20227,20227,0.09,18406.57,2373.69,Net Banking
2020-02-01,Customer_43,East,Electronics,Smartphone,3,26982,80946,0.1,72851.4,11223.79,Debit Card
2020-02-01,Customer_13,East,Accessories,Keyboard,1,21274,21274,0.13,18508.38,4393.83,Credit Card
2020-02-01,Customer_7,West,Electronics,Smartphone,4,48214,192856,0.09,175498.96,14250.87,Net Banking
2020-02-02,Customer_18,North,Electronics,Laptop,5,27805,139025,0.02,136244.5,27048.58,Debit Card
2020-02-02,Customer_7,North,Electronics,Smartphone,3,11121,33363,0.11,29693.07,3690.35,Credit Card
2020-02-02,Customer_43,East,Electronics,Printer,3,49539,148617,0.02,145644.66,18036.73,Credit Card
2020-02-02,Customer_16,East,Accessories,Mouse,1,27322,27322,0.08,25136.24,1661.66,Cash
2020-02-02,Customer_3,West,Accessories,Headphones,5,45799,228995,0.04,219835.2,15428.3,UPI
2020-02-02,Customer_1,West,Accessories,Headphones,4,45015,180060,0.12,158452.8,23859.47,Credit Card
2020-02-02,Customer_34,North,Electronics,Laptop,1,15895,15895,0.03,15418.15,1268.51,Net Banking
2020-02-03,Customer_28,West,Electronics,Laptop,1,29409,29409,0.05,27938.55,2630.75,Net Banking
2020-02-03,Customer_24,East,Accessories,Mouse,5,2273,11365,0.14,9773.9,2269.18,Net Banking
2020-02-03,Customer_12,West,Accessories,Headphones,2,30644,61288,0.07,56997.84,4106.25,UPI
2020-02-03,Customer_47,East,Accessories,Headphones,2,33034,66068,0.14,56818.48,8278.18,Credit Card
2020-02-03,Customer_14,East,Accessories,Mouse,4,3947,15788,0.1,14209.2,753.4,UPI
2020-02-03,Customer_47,East,Accessories,Mouse,2,17726,35452,0.14,30488.72,7111.9,Debit Card
2020-02-04,Customer_21,West,Electronics,Laptop,3,14529,43587,0.02,42715.26,4522.56,Debit Card
2020-02-04,Customer_15,South,Electronics,Laptop,2,13183,26366,0.09,23993.06,2372.77,Debit Card
2020-02-04,Customer_14,South,Accessories,Headphones,1,4905,4905,0.02,4806.9,301.35,Cash
2020-02-04,Customer_30,East,Electronics,Printer,2,1240,2480,0.13,2157.6,108.24,Debit Card
2020-02-04,Customer_32,West,Accessories,Keyboard,5,1305,6525,0.11,5807.25,1325.88,UPI
2020-02-04,Customer_20,West,Accessories,Keyboard,2,31483,62966,0.09,57299.06,3408.07,UPI
2020-02-04,Customer_42,East,Electronics,Smartphone,3,25672,77016,0.11,68544.24,9610.11,Net Banking
2020-02-05,Customer_47,South,Accessories,Headphones,4,37180,148720,0.08,136822.4,13177.1,Credit Card
2020-02-05,Customer_28,West,Electronics,Smartphone,2,35178,70356,0.04,67541.76,10654.23,UPI
2020-02-05,Customer_11,East,Electronics,Laptop,5,18236,91180,0.12,80238.4,7646.11,Net Banking
2020-02-05,Customer_31,South,Electronics,Monitor,1,48239,48239,0.01,47756.61,7650.58,Debit Card
2020-02-05,Customer_46,East,Accessories,Keyboard,1,47840,47840,0.07,44491.2,8321.46,Debit Card
2020-02-05,Customer_32,East,Accessories,Keyboard,1,20185,20185,0.07,18772.05,4408.3,Debit Card
2020-02-05,Customer_18,West,Accessories,Keyboard,5,32803,164015,0.04,157454.4,11963.38,Cash
2020-02-06,Customer_36,North,Accessories,Mouse,1,20228,20228,0.12,17800.64,2857.09,Credit Card
2020-02-06,Customer_35,East,Electronics,Smartphone,1,39055,39055,0.12,34368.4,4194.05,Credit Card
2020-02-06,Customer_18,West,Electronics,Laptop,5,31487,157435,0.06,147988.9,32016.81,Net Banking
2020-02-06,Customer_30,South,Electronics,Laptop,2,4344,8688,0.02,8514.24,940.25,Cash
2020-02-07,Customer_19,South,Accessories,Headphones,5,43086,215430,0.13,187424.1,32288.32,UPI
2020-02-07,Customer_48,West,Electronics,Printer,2,10717,21434,0.04,20576.64,3012.84,Credit Card
2020-02-07,Customer_26,North,Accessories,Mouse,5,48484,242420,0.07,225450.6,30926.62,Debit Card
2020-02-07,Customer_16,West,Electronics,Smartphone,4,13606,54424,0.05,51702.8,12404.91,Cash
2020-02-08,Customer_8,South,Electronics,Printer,4,31077,124308,0.06,116849.52,15326.52,Debit Card
2020-02-08,Customer_15,North,Accessories,Keyboard,2,43626,87252,0.11,77654.28,13003.71,Net Banking
2020-02-08,Customer_30,West,Accessories,Keyboard,3,23171,69513,0.04,66732.48,8713.19,Cash
2020-02-08,Customer_24,South,Accessories,Headphones,1,36733,36733,0.06,34529.02,7848.36,Net Banking
2020-02-08,Customer_8,West,Electronics,Smartphone,3,40694,122082,0.13,106211.34,20871.75,Net Banking
2020-02-09,Customer_7,East,Electronics,Laptop,2,25384,50768,0.04,48737.28,8574.63,Net Banking
2020-02-09,Customer_22,North,Electronics,Smartphone,4,33216,132864,0.14,114263.04,20732.05,Debit Card
2020-02-09,Customer_15,East,Electronics,Smartphone,4,15894,63576,0.02,62304.48,6002.03,Net Banking
2020-02-09,Customer_43,South,Accessories,Mouse,5,12059,60295,0.02,59089.1,9790.74,Cash
2020-02-09,Customer_10,West,Electronics,Smartphone,1,30736,30736,0.03,29813.92,6251.37,Debit Card
2020-02-10,Customer_2,West,Electronics,Printer,4,23142,92568,0.08,85162.56,15285.58,Net Banking
2020-02-10,Customer_19,South,Electronics,Printer,1,19272,19272,0.07,17922.96,3238.55,Net Banking
2020-02-10,Customer_36,East,Accessories,Headphones,4,9414,37656,0.12,33137.28,5964.54,Credit Card
2020-02-10,Customer_23,North,Electronics,Monitor,3,37358,112074,0.07,104228.82,7754.63,Credit Card
2020-02-10,Customer_12,East,Accessories,Headphones,3,21423,64269,0.14,55271.34,8240.52,UPI
2020-02-11,Customer_3,North,Electronics,Monitor,2,35451,70902,0.14,60975.72,13729.04,UPI
2020-02-11,Customer_16,East,Electronics,Smartphone,4,17760,71040,0.06,66777.6,4439.62,Credit Card
2020-02-11,Customer_31,West,Electronics,Smartphone,4,30252,121008,0.03,117377.76,19738.85,Credit Card
2020-02-11,Customer_49,South,Electronics,Printer,1,13979,13979,0.01,13839.21,2995.2,Debit Card
2020-02-11,Customer_39,West,Electronics,Smartphone,3,29223,87669,0.1,78902.1,7699.55,Cash
2020-02-11,Customer_18,West,Accessories,Mouse,5,9978,49890,0.06,46896.6,11630.44,Debit Card
2020-02-12,Customer_39,East,Electronics,Laptop,5,25056,125280,0.01,124027.2,13563.35,Debit Card
2020-02-12,Customer_37,West,Accessories,Headphones,1,49477,49477,0.15,42055.45,8929.93,UPI
2020-02-12,Customer_5,South,Accessories,Mouse,3,26648,79944,0.05,75946.8,13573.68,Net Banking
2020-02-12,Customer_15,East,Electronics,Smartphone,4,24771,99084,0.08,91157.28,16016.22,Cash
2020-02-12,Customer_13,South,Accessories,Keyboard,1,29886,29886,0.03,28989.42,1655.77,UPI
2020-02-13,Customer_14,West,Electronics,Printer,4,12746,50984,0.11,45375.76,10519.98,Debit Card
2020-02-13,Customer_30,North,Accessories,Headphones,4,1605,6420,0.11,5713.8,501.84,Credit Card
2020-02-13,Customer_3,South,Electronics,Printer,1,46339,46339,0.0,46339.0,9325.32,Debit Card
2020-02-14,Customer_4,West,Accessories,Mouse,5,44604,223020,0.09,202948.2,34172.09,Credit Card
2020-02-14,Customer_15,West,Accessories,Keyboard,2,29527,59054,0.0,59054.0,12934.81,Net Banking
2020-02-14,Customer_3,West,Electronics,Laptop,2,2002,4004,0.06,3763.76,745.25,Cash
2020-02-14,Customer_38,West,Electronics,Printer,4,16585,66340,0.07,61696.2,12246.83,Debit Card
2020-02-14,Customer_33,South,Accessories,Keyboard,1,3104,3104,0.11,2762.56,249.79,Debit Card
2020-02-14,Customer_6,East,Accessories,Mouse,1,29556,29556,0.13,25713.72,6371.63,Debit Card
2020-02-14,Customer_17,West,Electronics,Monitor,4,22618,90472,0.11,80520.08,15729.07,Cash
2020-02-15,Customer_12,East,Electronics,Smartphone,1,17734,17734,0.11,15783.26,2975.14,Credit Card
2020-02-15,Customer_13,West,Electronics,Smartphone,2,38340,76680,0.1,69012.0,7521.61,UPI
2020-02-15,Customer_35,North,Accessories,Headphones,1,45133,45133,0.03,43779.01,7676.43,Cash
2020-02-15,Customer_11,North,Electronics,Smartphone,4,5634,22536,0.08,20733.12,2679.62,Net Banking
2020-02-15,Customer_43,North,Electronics,Laptop,3,37979,113937,0.06,107100.78,7696.62,Credit Card
2020-02-16,Customer_39,North,Accessories,Headphones,4,38311,153244,0.03,148646.68,23504.13,UPI
2020-02-16,Customer_40,West,Accessories,Headphones,5,16659,83295,0.12,73299.6,15790.92,Cash
2020-02-16,Customer_37,South,Electronics,Smartphone,4,27950,111800,0.08,102856.0,13387.03,UPI
2020-02-17,Customer_19,South,Electronics,Smartphone,1,10083,10083,0.04,9679.68,1323.31,UPI
2020-02-17,Customer_13,East,Electronics,Printer,2,41249,82498,0.11,73423.22,11183.45,UPI
2020-02-17,Customer_3,South,Accessories,Mouse,5,26774,133870,0.0,133870.0,17722.19,Debit Card
2020-02-17,Customer_15,South,Accessories,Keyboard,5,21393,106965,0.04,102686.4,14189.16,Cash
2020-02-17,Customer_49,West,Electronics,Printer,4,18956,75824,0.1,68241.6,13252.23,UPI
2020-02-18,Customer_34,West,Electronics,Monitor,1,48458,48458,0.14,41673.88,6368.29,Net Banking
2020-02-18,Customer_9,North,Electronics,Monitor,1,6759,6759,0.02,6623.82,1458.6,UPI
2020-02-18,Customer_14,North,Accessories,Mouse,5,22311,111555,0.15,94821.75,7045.8,Cash
2020-02-18,Customer_5,West,Accessories,Mouse,2,22271,44542,0.08,40978.64,9608.75,Net Banking
2020-02-19,Customer_44,West,Accessories,Keyboard,5,4405,22025,0.02,21584.5,1823.26,UPI
2020-02-19,Customer_30,North,Electronics,Smartphone,5,25035,125175,0.12,110154.0,19466.55,UPI
2020-02-19,Customer_38,East,Accessories,Keyboard,3,34008,102024,0.14,87740.64,13135.09,Net Banking
2020-02-20,Customer_10,North,Electronics,Smartphone,4,15991,63964,0.05,60765.8,7763.99,Debit Card
2020-02-20,Customer_2,East,Accessories,Headphones,1,40545,40545,0.13,35274.15,3292.71,Cash
2020-02-20,Customer_33,North,Accessories,Keyboard,4,30901,123604,0.15,105063.4,23808.59,Credit Card
2020-02-21,Customer_44,South,Electronics,Printer,3,13698,41094,0.11,36573.66,3904.9,Cash
2020-02-21,Customer_3,North,Accessories,Mouse,3,24614,73842,0.08,67934.64,12578.95,Net Banking
2020-02-21,Customer_19,East,Electronics,Printer,1,49855,49855,0.03,48359.35,2882.16,Net Banking
2020-02-21,Customer_10,West,Accessories,Headphones,5,6980,34900,0.1,31410.0,5040.11,Credit Card
2020-02-21,Customer_47,East,Electronics,Monitor,4,13939,55756,0.07,51853.08,4378.54,Cash
2020-02-21,Customer_47,North,Electronics,Smartphone,3,13523,40569,0.04,38946.24,6035.85,Net Banking
2020-02-21,Customer_13,West,Accessories,Headphones,1,21343,21343,0.12,18781.84,1506.11,Debit Card
2020-02-22,Customer_23,East,Accessories,Keyboard,2,41032,82064,0.13,71395.68,15308.41,Credit Card
2020-02-22,Customer_17,South,Electronics,Smartphone,2,1522,3044,0.03,2952.68,651.29,Debit Card
2020-02-22,Customer_48,South,Electronics,Monitor,3,37811,113433,0.12,99821.04,22151.44,Cash
2020-02-22,Customer_34,West,Accessories,Mouse,4,14473,57892,0.07,53839.56,6882.02,Credit Card
2020-02-22,Customer_11,South,Accessories,Mouse,5,23402,117010,0.12,102968.8,12000.49,Net Banking
2020-02-23,Customer_41,North,Electronics,Laptop,5,13950,69750,0.01,69052.5,6432.06,Net Banking
2020-02-23,Customer_18,West,Electronics,Printer,1,39436,39436,0.01,39041.64,2984.88,Cash
2020-02-23,Customer_18,West,Accessories,Headphones,5,26992,134960,0.15,114716.0,12677.59,Net Banking
2020-02-23,Customer_16,West,Electronics,Monitor,3,45261,135783,0.12,119489.04,17413.34,Cash
